month,LINE_ITEM_NAME,Actual_Revenue
Jul,Teads AMP Bottom Ad Unit,7002.111375000001
Jul,AMP pages adx,1068.6755141551434
Jul,Droom-Cartoq-PG-Deal,818.663164951049
Jul,Adx Native Ad,759.5815667667849
Jul,SCross-cartoq-adglobal360 PG,541.8961447642756
Jun,Teads AMP Bottom Ad Unit,12674.434666666664
Jun,Teads Live Campaign,3124.4947500000007
Jun,KIA Video campaign,2777.8500000000004
Jun,AMP pages adx,1089.313408144384
Jun,CarToq Adx All Story Pages,1039.1967966005634
May,Maruti Dzire - Cartoq-Amnet PG-May,2666.5727556357324
May,Maruti - Swift Dzire Tactical campaign_May2018,1245.779778341527
May,CarToq Adx All Story Pages,1224.2375394828246
May,Adx Native Ad,1163.6551404126312
May,Adterra_monthly-May_15_2018,941.285555555556
